info:    Executing command vm image list
info:    Fetching VM images
data:    Name                                                                                                                  Category  OS       Publisher                                          
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1214.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1221.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-1235.0.0                                                               Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-475.1.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-490.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-509.1.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-522.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-522.1.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-522.2.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-547.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-554.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-557.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-561.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-575.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-584.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-591.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-592.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-593.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-598.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-604.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-607.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-612.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-612.1.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-618.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-626.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-633.1.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-640.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-647.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-653.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-660.0.0                                                                Public    Linux    CoreOS                                             
data:    2b171e93f07c4903bcad35bda10acf22__CoreOS-Alpha-668.2.0                                                                Public    Linux    CoreOS                                             
